0.565701	0.403526
0.073916	0.645721
0.390676	0.090122
0.110603	0.929989
0.487406	0.449678
0.168534	0.463884
0.464557	0.367259
0.593406	0.287851
0.460044	0.773583
0.344052	0.137087
0.918789	0.064978
0.379830	0.528276
0.946262	0.966650
0.460965	0.356917
0.365505	0.202578
0.587701	0.923720
0.246976	0.203490
0.961348	0.817343
0.603363	0.483831
0.788793	0.620801
0.145653	0.249272
0.471765	0.980138
0.482073	0.258218
0.723107	0.176507
0.908121	0.953961
0.934573	0.976603
0.983780	0.408510
0.684098	0.201402
0.423065	0.674828
0.615248	0.149484
0.431462	0.731074
0.047524	0.738731
0.518364	0.318663
0.583412	0.988991
0.984498	0.625329
0.666567	0.258334
0.738430	0.945072
0.515216	0.466827
0.831564	0.158751
0.105881	0.394268
0.117700	0.122289
0.914713	0.022141
0.741010	0.823830
0.937222	0.805060
0.735439	0.476883
0.101914	0.703294
0.878874	0.553388
0.569323	0.785470
0.087007	0.128794
0.565145	0.219361
0.054702	0.810677
0.334664	0.508702
0.556757	0.953076
0.525390	0.905264
0.805305	0.820630
0.805794	0.027943
0.527707	0.859781
0.810263	0.854447
0.976634	0.258715
0.563867	0.416147
0.913147	0.533368
0.385263	0.723004
0.713915	0.963760
0.892034	0.672979
0.145344	0.323054
0.139980	0.959153
0.020207	0.491179
0.116372	0.277803
0.906493	0.225508
0.776894	0.461976
0.293534	0.572991
0.566975	0.517646
0.137068	0.151311
0.900439	0.923322
0.502752	0.801056
0.381891	0.969020
0.106742	0.916552
0.653967	0.356788
0.912304	0.099907
0.626547	0.762532
0.583020	0.651011
0.502296	0.567670
0.516019	0.805614
0.451316	0.509164
0.382742	0.564300
0.007472	0.567809
0.590118	0.417065
0.259895	0.017149
0.841626	0.261385
0.695414	0.189222
0.025571	0.336077
0.111134	0.178342
0.986987	0.048894
0.361101	0.400436
0.349972	0.162751
0.826991	0.652987
0.448802	0.923609
0.409951	0.079418
0.599086	0.362462
0.529247	0.231795
